Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Etiqueta de entrega,Entrega compilada:Fecha de entrega,Entrega compilada:Open Contracting ID,compiledRelease/publishedDate,Entrega compilada:Tipo de inicio,Entrega compilada:Comprador:ID de Organización,Entrega compilada:Comprador:Nombre de la Organización,Entrega compilada:Planeación:Presupuesto:Fuente del Presupuesto,Entrega compilada:Planeación:Presupuesto:Título del Proyecto,Entrega compilada:Planeación:Presupuesto:Identificador de proyecto,Entrega compilada:Licitación:ID de licitación,Entrega compilada:Licitación:Título de la licitación,Entrega compilada:Licitación:Descripción de la licitación,Entrega compilada:Licitación:Entidad contratante:ID de Organización,Entrega compilada:Licitación:Entidad contratante:Nombre de la Organización,compiledRelease/tender/datePublished,Entrega compilada:Licitación:Método de contratación,Entrega compilada:Licitación:Detalles del método de contratación,Entrega compilada:Licitación:Categoría principal de contratación,Entrega compilada:Licitación:Categorías adicionales de contratación,Entrega compilada:Licitación:Valor:Monto,Entrega compilada:Licitación:Valor:Moneda,Entrega compilada:Licitación:Valor:Nombre de Moneda,compiledRelease/tender/value/amount_PEN,Entrega compilada:Licitación:Periodo de licitación:Fecha de inicio,Entrega compilada:Licitación:Periodo de licitación:Fecha de fin,Entrega compilada:Licitación:Periodo de consulta:Fecha de inicio,Entrega compilada:Licitación:Periodo de consulta:Fecha de fin,Entrega compilada:Licitación:Periodo de consulta:Duración (días),Entrega compilada:Licitación:Información Protegida,Entrega compilada:Segmentación:ID,Entrega compilada:Segmentación:Criterio,Entrega compilada:Planeación:Presupuesto:Monto:Monto,Entrega compilada:Planeación:Presupuesto:Monto:Moneda,Entrega compilada:Planeación:Presupuesto:Monto:Nombre de Moneda,Entrega compilada:Licitación:Número de licitantes
ocds-dgv273-seacev3-1234860,ocds-dgv273-seacev3-1234860-2026-09-23T10:18:06.084926-05:00,compiled,2026-09-23T10:18:06.084913-05:00,ocds-dgv273-seacev3-1234860,2026-09-23T10:18:06.084931-05:00,tender,PE-CONSUCODE-1584,MUNICIPALIDAD PROVINCIAL DE PIURA,Fondos Públicos,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE MOVILIDAD URBANA EN LAS VÍAS LOCALES DEL A.H. LOS ALGARROBOS - VI ETAPA,  DISTRITO DE PIURA - PROVINCIA DE PIURA - DEPARTAMENTO DE PIURA",2619107,1234860,LP-SM-1-2026-COMITE/MPP-1,"""MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE MOVILIDAD URBANA EN LAS VÍAS LOCALES DEL A.H. LOS ALGARROBOS VI ETAPA, DISTRITO DE PIURA - PROVINCIA DE PIURA DEPARTAMENTO DE PIURA"" CUI N 2619107",PE-CONSUCODE-1584,MUNICIPALIDAD PROVINCIAL DE PIURA,2026-02-20T19:07:00-05:00,open,Licitación Pública,works,works,8123893.91,PEN,Soles,8123893.91,2026-02-20T00:00:00-05:00,2026-02-20T00:00:00-05:00,2026-02-21T00:01:00-05:00,2026-03-06T23:59:00-05:00,13,True,2026-02,añoInicioConvocatoria;mesInicioConvocatoria,,,,
ocds-dgv273-seacev3-1205085,ocds-dgv273-seacev3-1205085-2026-09-23T10:18:02.703959-05:00,compiled,2026-09-23T10:18:02.703944-05:00,ocds-dgv273-seacev3-1205085,2026-09-23T10:18:02.703964-05:00,tender,PE-CONSUCODE-673,MUNICIPALIDAD DISTRITAL DE HUAMBOS,Fondos Públicos,"CREACION DEL SERVICIOS DE ESPACIOS PÚBLICOS URBANOS EN PARQUE CENTRAL,  DE CENTRO POBLADO CHALLUARACRA DISTRITO DE HUAMBOS DE LA PROVINCIA DE CHOTA DEL DEPARTAMENTO DE CAJAMARCA",2669678,1205085,LP-ABR-1-2026-MDH-2,"CONTRATACION PARA LA  EJECUCION DE LA OBRA: ¿CREACION DEL SERVICIOS DE ESPACIOS PÚBLICOS URBANOS EN PARQUE CENTRAL, DE CENTRO POBLADO CHALLUARACRA DISTRITO DE HUAMBOS DE LA PROVINCIA DE CHOTA DEL DEPARTAMENTO DE CAJAMARCA¿ CON CUI 2669678",PE-CONSUCODE-673,MUNICIPALIDAD DISTRITAL DE HUAMBOS,2026-02-18T17:37:00-05:00,,Licitación Pública Abreviada,works,works,519210.24,PEN,Soles,519210.24,2026-02-18T00:00:00-05:00,2026-02-18T00:00:00-05:00,2026-02-19T00:01:00-05:00,2026-02-23T23:59:00-05:00,4,False,2026-02,añoInicioConvocatoria;mesInicioConvocatoria,519210.24,PEN,Soles,27
ocds-dgv273-seacev3-1188293,ocds-dgv273-seacev3-1188293-2026-09-23T10:18:02.453935-05:00,compiled,2026-09-23T10:18:02.453920-05:00,ocds-dgv273-seacev3-1188293,2026-09-23T10:18:02.453941-05:00,tender,PE-CONSUCODE-43,GOBIERNO REGIONAL DE LAMBAYEQUE Sede Central,Fondos Públicos,,,1188293,CP-ABR-5-2026-GR.LAMB/DEC-1,"CONTRATACIÓN DEL SERVICIO DE IMPRIMACIÓN ASFÁLTICA MC-30 PARA LA EJECUCIÓN DE LA ACTIVIDAD: ¿TERCERA ETAPA DEL MANTENIMIENTO DE LA TRANSITABILIDAD VEHICULAR DE DIVERSAS CALLES Y AVENIDAS DEL DISTRITO DE CHICLAYO, PROVINCIA DE CHICLAYO, DEPARTAMENTO DE LAMBAYEQUE""",PE-CONSUCODE-43,GOBIERNO REGIONAL DE LAMBAYEQUE Sede Central,2026-02-13T19:07:00-05:00,,Concurso Público Abreviado,services,services,406275.69,PEN,Soles,406275.69,2026-02-13T00:00:00-05:00,2026-02-13T00:00:00-05:00,2026-02-14T00:01:00-05:00,2026-02-18T23:59:00-05:00,4,False,2026-02,añoInicioConvocatoria;mesInicioConvocatoria,406275.69,PEN,Soles,10
ocds-dgv273-seacev3-1187725,ocds-dgv273-seacev3-1187725-2026-09-23T10:18:02.437183-05:00,compiled,2026-09-23T10:18:02.437169-05:00,ocds-dgv273-seacev3-1187725,2026-09-23T10:18:02.437188-05:00,tender,PE-CONSUCODE-200092,MUNICIPALIDAD DISTRITAL DE PILLCO MARCA,Fondos Públicos,CREACION DEL SERVICIOS DE ESPACIOS PÚBLICOS URBANOS EN ESPACIOS SALUDABLE EN EL JR. SAN PEDRO Y AV. MIGUEL GRAU EN LA LOCALIDAD DE CAYHUAYNA ALTA DEL   DISTRITO DE PILLCO MARCA DE LA PROVINCIA DE HUANUCO DEL DEPARTAMENTO DE HUANUCO,2644767,1187725,LP-ABR-1-2026-MDPM/C-1,CONTRATACION PARA LA EJECUCION DE LA OBRA: ¿CREACION DEL SERVICIOS DE ESPACIOS PÚBLICOS URBANOS EN ESPACIOS SALUDABLE EN EL JR. SAN PEDRO Y AV. MIGUEL GRAU EN LA LOCALIDAD DE CAYHUAYNA ALTA DEL DISTRITO DE PILLCO MARCA DE LA PROVINCIA DE HUANUCO DEL DEPARTAMENTO DE HUANUCO¿ CUI N° 2644767.,PE-CONSUCODE-200092,MUNICIPALIDAD DISTRITAL DE PILLCO MARCA,2026-02-13T20:46:00-05:00,,Licitación Pública Abreviada,works,works,557249.3,PEN,Soles,557249.3,2026-02-13T00:00:00-05:00,2026-02-13T00:00:00-05:00,2026-02-14T00:01:00-05:00,2026-02-18T23:59:00-05:00,4,False,2026-02,añoInicioConvocatoria;mesInicioConvocatoria,557249.3,PEN,Soles,10
ocds-dgv273-seacev3-1187256,ocds-dgv273-seacev3-1187256-2026-09-23T10:18:02.325694-05:00,compiled,2026-09-23T10:18:02.325678-05:00,ocds-dgv273-seacev3-1187256,2026-09-23T10:18:02.325699-05:00,tender,PE-CONSUCODE-1053,MUNICIPALIDAD DISTRITAL DE MARCONA,Fondos Públicos,"ADQUISICION DE EQUIPOS COMPLEMENTARIOS; EN EL(LA) INDUSTRIA PANIFICADORA DE LA ASOCIACION DE FAMILIAS DESPLAZADAS HIJOS DE AYMARAES - ASFADEA DEL  DISTRITO DE MARCONA, PROVINCIA NASCA, DEPARTAMENTO ICA",2657943,1187256,LP-SM-1-2026-COMITE-MDM-1,"ADQUISICION DE EQUIPOS COMPLEMENTARIOS; EN EL(LA) INDUSTRIA PANIFICADORA DE LA ASOCIACION DE FAMILIAS DESPLAZADAS HIJOS DE AYMARAES - ASFADEA DEL DISTRITO DE MARCONA, PROVINCIA NASCA, DEPARTAMENTO ICA, CUI N° 2657943",PE-CONSUCODE-1053,MUNICIPALIDAD DISTRITAL DE MARCONA,2026-02-09T17:29:00-05:00,open,Licitación Pública,goods,goods,920000.0,PEN,Nuevos Soles,920000.0,2026-02-09T00:00:00-05:00,2026-02-09T00:00:00-05:00,2026-02-10T00:01:00-05:00,2026-02-18T23:59:00-05:00,8,False,2026-02,añoInicioConvocatoria;mesInicioConvocatoria,,,,9
ocds-dgv273-seacev3-2026-1612-1,ocds-dgv273-seacev3-2026-1612-1-2026-09-23T10:18:02.293227-05:00,compiled,2026-09-23T10:18:02.293212-05:00,ocds-dgv273-seacev3-2026-1612-1,2026-09-23T10:18:02.293232-05:00,tender,PE-CONSUCODE-1612,MUNICIPALIDAD DISTRITAL DE BUENOS AIRES - MORROPON,Fondos Públicos,"RECUPERACION POR DESASTRES DEL SERVICIO DE EDUCACION SECUNDARIA EN LA INSTITUCIÓN EDUCATIVA CIRO ALEGRIA, EN LA LOCALIDAD DE BUENOS AIRES DEL DISTRITO DE BUENOS AIRES - PROVINCIA DE MORROPON - DEPARTAMENTO DE PIURA",2529115,1186709,LP-SM-1-2026-MDBA-CE-1,"EJECUCION DEL PROYECTO DE INVERSION: RECUPERACION POR DESASTRES DEL SERVICIO DE EDUCACION SECUNDARIA EN LA INSTITUCIÓN EDUCATIVA CIRO ALEGRIA, EN LA LOCALIDAD DE BUENOS AIRES DEL DISTRITO DE BUENOS AIRES - PROVINCIA DE MORROPON - DEPARTAMENTO DE PIURA, CUI 2529115",PE-CONSUCODE-1612,MUNICIPALIDAD DISTRITAL DE BUENOS AIRES - MORROPON,2026-02-10T22:47:00-05:00,open,Licitación Pública,works,works,20614976.72,PEN,Soles,20614976.72,2026-02-10T00:00:00-05:00,2026-02-10T00:00:00-05:00,2026-02-11T00:01:00-05:00,2026-02-19T23:59:00-05:00,8,False,2026-02,añoInicioConvocatoria;mesInicioConvocatoria,20614976.72,PEN,Soles,14
ocds-dgv273-seacev3-1186562,ocds-dgv273-seacev3-1186562-2026-09-23T10:18:02.273224-05:00,compiled,2026-09-23T10:18:02.273208-05:00,ocds-dgv273-seacev3-1186562,2026-09-23T10:18:02.273230-05:00,tender,PE-CONSUCODE-1321,MUNICIPALIDAD DISTRITAL DE LA VICTORIA - LIMA,Fondos Públicos,"RENOVACION DE PAVIMENTO; EN EL(LA) AMBITO DE LAS VIAS LOCALES DE LA ZONA 41 EN EL CENTRO POBLADO LA VICTORIA, DISTRITO DE LA VICTORIA, PROVINCIA LIMA, DEPARTAMENTO LIMA",2705668,1186562,LP-ABR-4-2026-C-MLV-1,"CONTRATACIÓN PARA LA EJECUCIÓN DE LA OBRA: RENOVACION DE PAVIMENTO; EN EL(LA) EN EL AMBITO DE LAS VIAS LOCALES DE LA ZONA 41 EN EL CENTRO POBLADO LA VICTORIA, DISTRITO DE LA VICTORIA, PROVINCIA LIMA, DEPARTAMENTO LIMA CON CUI N° 2705668",PE-CONSUCODE-1321,MUNICIPALIDAD DISTRITAL DE LA VICTORIA - LIMA,2026-02-06T22:53:00-05:00,,Licitación Pública Abreviada,works,works,2859385.31,PEN,Soles,2859385.31,2026-02-06T00:00:00-05:00,2026-02-06T00:00:00-05:00,2026-02-07T00:01:00-05:00,2026-02-11T23:59:00-05:00,4,False,2026-02,añoInicioConvocatoria;mesInicioConvocatoria,2859385.31,PEN,Soles,27
ocds-dgv273-seacev3-2026-10248-67,ocds-dgv273-seacev3-2026-10248-67-2026-09-23T10:17:53.045906-05:00,compiled,2026-09-23T10:17:53.045893-05:00,ocds-dgv273-seacev3-2026-10248-67,2026-09-23T10:17:53.045911-05:00,tender,PE-CONSUCODE-10248,MARINA DE GUERRA DEL PERU,Fondos Públicos,,,1191391,LP-ABR-4-2026-MGP/DIRCOMAR-1,ADQUISICIÓN DE UNIFORME DIARIO PARA EL BAP. UNIÓN /BIEN PP 0135/REQ.0015-2026-DIABASTE,PE-CONSUCODE-10248,MARINA DE GUERRA DEL PERU,2026-02-26T17:12:00-05:00,,Licitación Pública Abreviada,goods,goods,397679.33,PEN,Soles,397679.33,2026-02-26T00:00:00-05:00,2026-02-26T00:00:00-05:00,2026-02-27T00:01:00-05:00,2026-03-04T23:59:00-05:00,5,False,2026-02,añoInicioConvocatoria;mesInicioConvocatoria,825895.0,PEN,Soles,18
ocds-dgv273-seacev3-2026-1731-36,ocds-dgv273-seacev3-2026-1731-36-2026-09-23T10:17:52.886472-05:00,compiled,2026-09-23T10:17:52.886459-05:00,ocds-dgv273-seacev3-2026-1731-36,2026-09-23T10:17:52.886477-05:00,tender,PE-CONSUCODE-1731,MUNICIPALIDAD PROVINCIAL DE SAN ROMAN - JULIACA,Fondos Públicos,MEJORAMIENTO DEL SERVICIO DE MOVILIDAD URBANA EN EL JIRON HUANCANE TRAMO (AV. CIRCUNVALACIÓN I - AV. TAMBOPATA)   DISTRITO DE JULIACA DE LA PROVINCIA DE SAN ROMAN DEL DEPARTAMENTO DE PUNO,2695292,1186943,LP-ABR-8-2026-MPSR-J-1,"EJECUCIÓN DE OBRA DEL PROYECTO MEJORAMIENTO DEL SERVICIO DE MOVILIDAD URBANA EN EL JIRÓN HUANCANE TRAMO (AV. CIRCUNVALACIÓN I - AV. TAMBOPATA) DISTRITO DE JULIACA DE LA PROVINCIA DE SAN ROMÁN DEL DEPARTAMENTO DE PUNO, CON CUI N° 2695292",PE-CONSUCODE-1731,MUNICIPALIDAD PROVINCIAL DE SAN ROMAN - JULIACA,2026-02-09T21:16:00-05:00,,Licitación Pública Abreviada,works,works,2871199.13,PEN,Soles,2871199.13,2026-02-09T00:00:00-05:00,2026-02-09T00:00:00-05:00,2026-02-10T00:01:00-05:00,2026-02-13T23:59:00-05:00,3,False,2026-02,añoInicioConvocatoria;mesInicioConvocatoria,2871199.13,PEN,Soles,33
ocds-dgv273-seacev3-2026-200-8,ocds-dgv273-seacev3-2026-200-8-2026-09-23T10:17:52.814238-05:00,compiled,2026-09-23T10:17:52.814225-05:00,ocds-dgv273-seacev3-2026-200-8,2026-09-23T10:17:52.814243-05:00,tender,PE-CONSUCODE-200,MUNICIPALIDAD PROVINCIAL DE CASMA,Fondos Públicos,"MEJORAMIENTO DEL CAMAL MUNICIPAL EN LA CIUDAD DE CASMA - DISTRITO CASMA, PROVINCIA DE CASMA - ANCASH",2133256,1186734,LP-ABR-8-2026-MPC/C-1,"EJECUCION DE OBRA: SALDO DE OBRA MEJORAMIENTO DEL CAMAL MUNICIPAL EN LA CIUDAD DE CASMA - DISTRITO CASMA, PROVINCIA DE CASMA - ANCASH, CUI 2133256",PE-CONSUCODE-200,MUNICIPALIDAD PROVINCIAL DE CASMA,2026-02-05T19:42:00-05:00,,Licitación Pública Abreviada,works,works,2013640.56,PEN,Soles,2013640.56,2026-02-05T00:00:00-05:00,2026-02-05T00:00:00-05:00,2026-02-06T00:01:00-05:00,2026-02-10T23:59:00-05:00,4,False,2026-02,añoInicioConvocatoria;mesInicioConvocatoria,2013640.56,PEN,Soles,12
ocds-dgv273-seacev3-2026-200145-7,ocds-dgv273-seacev3-2026-200145-7-2026-09-23T10:17:52.720765-05:00,compiled,2026-09-23T10:17:52.720751-05:00,ocds-dgv273-seacev3-2026-200145-7,2026-09-23T10:17:52.720770-05:00,tender,PE-CONSUCODE-200145,PLAN COPESCO NACIONAL - MINCETUR,Fondos Públicos,"CONSTRUCCION DE ZONA DE ESTACIONAMIENTO, ZONA DE CAMPAMENTO Y MIRADOR TURISTICO; REPARACION DE SENDERO; ADEMÁS DE OTROS ACTIVOS EN EL(LA) RECURSO TURISTICO LAGUNA 69,  DISTRITO DE YUNGAY, PROVINCIA YUNGAY, DEPARTAMENTO ANCASH",2451236,1186637,LP-ABR-2-2026-UICET-1,"EJECUCIÓN DE LA IOARR: CONSTRUCCIÓN DE ZONA DE ESTACIONAMIENTO, ZONA DE CAMPAMENTO Y MIRADOR TURÍSTICO; REPARACIÓN DE SENDERO; ADEMÁS DE OTROS ACTIVOS EN EL(LA) RECURSO TURÍSTICO LAGUNA 69, DISTRITO DE YUNGAY, PROVINCIA YUNGAY, DEPARTAMENTO ANCASH - CUI N°2451236",PE-CONSUCODE-200145,PLAN COPESCO NACIONAL - MINCETUR,2026-02-05T18:48:00-05:00,,Licitación Pública Abreviada,works,works,3176272.01,PEN,Soles,3176272.01,2026-02-05T00:00:00-05:00,2026-02-05T00:00:00-05:00,2026-02-06T00:01:00-05:00,2026-02-10T23:59:00-05:00,4,False,2026-02,añoInicioConvocatoria;mesInicioConvocatoria,3176272.01,PEN,Soles,33
ocds-dgv273-seacev3-1192077,ocds-dgv273-seacev3-1192077-2026-09-23T10:17:41.628879-05:00,compiled,2026-09-23T10:17:41.628865-05:00,ocds-dgv273-seacev3-1192077,2026-09-23T10:17:41.628885-05:00,tender,PE-CONSUCODE-200145,PLAN COPESCO NACIONAL - MINCETUR,Fondos Públicos,"REMODELACION DE ALAMEDA; ADQUISICION DE SEÑALIZACION TURISTICA DE INTERPRETACION; EN EL(LA) BOULEVARD TACNA - PUCALLPA  DISTRITO DE CALLERIA, PROVINCIA CORONEL PORTILLO, DEPARTAMENTO UCAYALI",2637109,1192077,LP-ABR-5-2025-UICET-3,"EJECUCION DEL SALDO DE OBRA DE LA IOARR: REMODELACIÓN DE ALAMEDA; ADQUISICIÓN DE SEÑALIZACIÓN TURÍSTICA DE INTERPRETACIÓN; EN EL(LA) BOULEVARD TACNA ¿ PUCALLPA DISTRITO DE CALLERÍA, PROVINCIA CORONEL PORTILLO, DEPARTAMENTO UCAYALI -CUI N.° 2637109",PE-CONSUCODE-200145,PLAN COPESCO NACIONAL - MINCETUR,2026-02-27T21:09:00-05:00,,Licitación Pública Abreviada,works,works,1967427.5,PEN,Soles,1967427.5,2026-02-27T00:00:00-05:00,2026-02-27T00:00:00-05:00,2026-02-28T00:01:00-05:00,2026-03-04T23:59:00-05:00,4,False,2026-02,añoInicioConvocatoria;mesInicioConvocatoria,1967427.5,PEN,Soles,27
ocds-dgv273-seacev3-1187849,ocds-dgv273-seacev3-1187849-2026-09-23T10:17:41.311276-05:00,compiled,2026-09-23T10:17:41.311260-05:00,ocds-dgv273-seacev3-1187849,2026-09-23T10:17:41.311281-05:00,tender,PE-CONSUCODE-389,MUNICIPALIDAD PROVINCIAL DE CHINCHEROS,Fondos Públicos,,,1187849,SIE-SIE-7-2026-MPCH-CS-1,"ADQUISICION DE SUMINISTRO DE COMBUSTIBLE PARA EL AÑO 2026, PARA LAS DIFERENTES AREAS DE LA MUNICIPALIDAD PROVINCIAL DE CHINCHEROS-APURIMACDE LA MUNICIPALIDAD PROVINCIAL DE CHINCHEROS.",PE-CONSUCODE-389,MUNICIPALIDAD PROVINCIAL DE CHINCHEROS,2026-02-11T20:42:00-05:00,open,Subasta Inversa Electrónica,goods,goods,317426.0,PEN,Soles,317426.0,2026-02-11T00:00:00-05:00,2026-02-11T00:00:00-05:00,,,,False,2026-02,añoInicioConvocatoria;mesInicioConvocatoria,317426.0,PEN,Soles,4
ocds-dgv273-seacev3-2026-1471-3,ocds-dgv273-seacev3-2026-1471-3-2026-09-23T10:17:41.202834-05:00,compiled,2026-09-23T10:17:41.202819-05:00,ocds-dgv273-seacev3-2026-1471-3,2026-09-23T10:17:41.202839-05:00,tender,PE-CONSUCODE-1471,MUNICIPALIDAD DISTRITAL DE SUPE,Fondos Públicos,"RECUPERACIÓN DEL LOCAL ESCOLAR 392, SEÑOR DE LUREN CON CÓDIGO LOCAL 349986, DISTRITO DE SUPE, PROVINCIA DE BARRANCA, REGIÓN LIMA",2528582,1186817,PEC-PROC-2-2026-MDS/CS-1,"SUPERVISIÓN DE LA EJECUCIÓN DE LA OBRA: EXPEDIENTE TECNICO REFORMULADO DEL SALDO DE OBRA DENOMINADO: ""RECUPERACIÓN DEL LOCAL ESCOLAR Nº392, SEÑOR DE LUREN, CON CÓDIGO LOCAL N°349986, DISTRITO DE SUPE, PROVINCIA DE BARRANCA, DEPARTAMENTO DE LIMA"". (Código único de Inversiones (CUI): 2528582).",PE-CONSUCODE-1471,MUNICIPALIDAD DISTRITAL DE SUPE,2026-02-05T22:24:00-05:00,open,Procedimiento Especial de Contratación,services,services,193977.88,PEN,Soles,193977.88,2026-02-05T00:00:00-05:00,2026-02-05T00:00:00-05:00,2026-02-06T00:01:00-05:00,2026-02-10T23:59:00-05:00,4,False,2026-02,añoInicioConvocatoria;mesInicioConvocatoria,193977.88,PEN,Soles,15
ocds-dgv273-seacev3-1187541,ocds-dgv273-seacev3-1187541-2026-09-23T10:17:41.169207-05:00,compiled,2026-09-23T10:17:41.169192-05:00,ocds-dgv273-seacev3-1187541,2026-09-23T10:17:41.169213-05:00,tender,PE-CONSUCODE-1607,MUNICIPALIDAD DISTRITAL DE HUARMACA,Fondos Públicos,MEJORAMIENTO DEL SERVICIO DE PROVISIÓN DE AGUA PARA RIEGO EN EL CANAL SAN MIGUEL DE LA LOCALIDAD DE LOS FAIQUES DE HUALQUIRO   DISTRITO DE HUARMACA DE LA PROVINCIA DE HUANCABAMBA DEL DEPARTAMENTO DE PIURA,2628543,1187541,LP-ABR-2-2026-MDH/CS-1,"EJECUCION DE OBRA: MEJORAMIENTO DEL SERVICIO DE PROVISIÓN DE AGUA PARA RIEGO EN EL CANAL SAN MIGUEL, DE LA LOCALIDAD DE LOS FAIQUES DE HUALQUIRO, DISTRITO DE HUARMACA, PROVINCIA DE HUANCABAMBA, DEPARTAMENTO DE PIURA¿; CUI N°2628543",PE-CONSUCODE-1607,MUNICIPALIDAD DISTRITAL DE HUARMACA,2026-02-10T23:07:00-05:00,,Licitación Pública Abreviada,works,works,1860670.19,PEN,Soles,1860670.19,2026-02-10T00:00:00-05:00,2026-02-10T00:00:00-05:00,2026-02-11T00:01:00-05:00,2026-02-13T23:59:00-05:00,2,False,2026-02,añoInicioConvocatoria;mesInicioConvocatoria,1860670.19,PEN,Soles,17
ocds-dgv273-seacev3-2026-10457-4,ocds-dgv273-seacev3-2026-10457-4-2026-09-23T10:17:30.636298-05:00,compiled,2026-09-23T10:17:30.636285-05:00,ocds-dgv273-seacev3-2026-10457-4,2026-09-23T10:17:30.636304-05:00,tender,PE-CONSUCODE-10457,GOBIERNO REGIONAL DE HUANCAVELICA-HOSPITAL DEPARTAMENTAL DE HUANCAVELICA,Fondos Públicos,,,1186578,SIE-SIE-4-2026-HD-HVCA/OC-1,ADQUISICION DE SUMINISTRO DE COMBUSTIBLE DIÉSEL B5 S-50 Y GASOHOL REGULAR PARA EL SERVICIO DE CASA FUERZA Y PARA EL SERVICIO DE TRANSPORTES Y EMERGENCIAS DEL HOSPITAL DEPARTAMENTAL DE HUANCAVELICA.,PE-CONSUCODE-10457,GOBIERNO REGIONAL DE HUANCAVELICA-HOSPITAL DEPARTAMENTAL DE HUANCAVELICA,2026-02-04T19:22:00-05:00,open,Subasta Inversa Electrónica,goods,goods,366200.0,PEN,Soles,366200.0,2026-02-04T00:00:00-05:00,2026-02-04T00:00:00-05:00,,,,False,2026-02,añoInicioConvocatoria;mesInicioConvocatoria,366200.0,PEN,Soles,3
ocds-dgv273-seacev3-1241869,ocds-dgv273-seacev3-1241869-2026-09-23T10:17:22.338248-05:00,compiled,2026-09-23T10:17:22.338235-05:00,ocds-dgv273-seacev3-1241869,2026-09-23T10:17:22.338253-05:00,tender,PE-CONSUCODE-749,MUNICIPALIDAD PROVINCIAL DEL CUSCO,Fondos Públicos,"MEJORAMIENTO DEL SERVICIO DE LA TRANSITABILIDAD VEHICULAR Y PEATONAL ENTRE LA ASOCIACION PRO VIVIENDA CRUZ VERDE - SECTOR CHINCHAYSUYO - SECTOR HUAMPAR Y LA LOCALIDAD DE POROY, DISTRITO DE POROY - CUSCO - CUSCO",2332458,1241869,CP-ABR-1-2026-C-MPC-1,"SERVICIO DE ALQUILER DE CARGADOR FRONTAL PARA EL PROYECTO MEJORAMIENTO DEL SERVICIO DE LA TRANSITABILIDAD VEHICULAR Y PEATONAL ENTRE LA ASOCIACIÓN PRO VIVIENDA CRUZ VERDE - SECTOR CHINCHAYSUYO - SECTOR HUAMPAR Y LA LOCALIDAD DE POROY, DISTRITO DE POROY - CUSCO - CUSCO",PE-CONSUCODE-749,MUNICIPALIDAD PROVINCIAL DEL CUSCO,2026-02-25T16:48:00-05:00,,Concurso Público Abreviado,services,services,92500.0,PEN,Soles,92500.0,2026-02-25T00:00:00-05:00,2026-02-25T00:00:00-05:00,2026-02-26T00:01:00-05:00,2026-03-02T23:59:00-05:00,4,False,2026-02,añoInicioConvocatoria;mesInicioConvocatoria,,,,26
ocds-dgv273-seacev3-2026-1343-33,ocds-dgv273-seacev3-2026-1343-33-2026-09-23T10:17:19.216357-05:00,compiled,2026-09-23T10:17:19.216344-05:00,ocds-dgv273-seacev3-2026-1343-33,2026-09-23T10:17:19.216362-05:00,tender,PE-CONSUCODE-1343,MUNICIPALIDAD DISTRITAL DE SANTA ANITA,Fondos Públicos,"ADQUISICION DE CAMION CISTERNA; EN EL(LA) MUNICIPALIDAD DISTRITAL DE SANTA ANITA  DISTRITO DE SANTA ANITA, PROVINCIA LIMA, DEPARTAMENTO LIMA",2515122,1187680,LP-ABR-1-2026-CS/MDSA-1,"ADQUISICIÓN DE CAMIÓN CISTERNA DE 5000 GALONES, RESPECTO A LA IOARR ADQUISICIÓN DE CAMIÓN CISTERNA EN EL(LA) MUNICIPALIDAD DISTRITAL DE SANTA ANITA DISTRITO DE SANTA ANITA, PROVINCIA LIMA, DEPARTAMENTO LIMA CON CUI N 2515122",PE-CONSUCODE-1343,MUNICIPALIDAD DISTRITAL DE SANTA ANITA,2026-02-23T21:20:00-05:00,,Licitación Pública Abreviada,goods,goods,482000.0,PEN,Soles,482000.0,2026-02-23T00:00:00-05:00,2026-02-23T00:00:00-05:00,2026-02-24T00:01:00-05:00,2026-02-26T23:59:00-05:00,2,False,2026-02,añoInicioConvocatoria;mesInicioConvocatoria,,,,18
ocds-dgv273-seacev3-1185530,ocds-dgv273-seacev3-1185530-2026-09-23T10:17:19.100762-05:00,compiled,2026-09-23T10:17:19.100746-05:00,ocds-dgv273-seacev3-1185530,2026-09-23T10:17:19.100768-05:00,tender,PE-CONSUCODE-1731,MUNICIPALIDAD PROVINCIAL DE SAN ROMAN - JULIACA,Fondos Públicos,"ADQUISICION DE SEMAFORO; RENOVACION DE SEÑALES DE TRÁFICO; EN EL(LA) EN LAS VÍAS Y ÓVALOS PRINCIPALES. EN EL CERCADO DEL  DISTRITO DE JULIACA, PROVINCIA SAN ROMAN, DEPARTAMENTO PUNO",2650855,1185530,LP-ABR-5-2025-MPSR-J-3,"EJECUCIÓN DE OBRA ADQUISICIÓN DE SEMÁFORO; RENOVACIÓN DE SEÑALES DE TRÁFICO; EN EL(LA) EN LAS VÍAS Y ÓVALOS PRINCIPALES. EN EL CERCADO DEL DISTRITO DE JULIACA, PROVINCIA SAN ROMÁN, DEPARTAMENTO PUNO, CON CUI 2650855",PE-CONSUCODE-1731,MUNICIPALIDAD PROVINCIAL DE SAN ROMAN - JULIACA,2026-02-12T18:03:00-05:00,,Licitación Pública Abreviada,works,works,911082.82,PEN,Soles,911082.82,2026-02-12T00:00:00-05:00,2026-02-12T00:00:00-05:00,2026-02-13T00:01:00-05:00,2026-02-17T23:59:00-05:00,4,False,2026-02,añoInicioConvocatoria;mesInicioConvocatoria,911082.82,PEN,Soles,11
