Open Contracting ID,Entrega compilada:ID de Entrega,Entrega compilada:Licitación:ID de licitación,Entrega compilada:Licitación:Artículos que se adquirirán:ID,compiledRelease/tender/items/0/totalValue/exchangeRates/0/currency,compiledRelease/tender/items/0/totalValue/exchangeRates/0/rate,_mes_origen
ocds-dgv273-seacev3-1200340,ocds-dgv273-seacev3-1200340-2026-08-05T10:25:24.856879-05:00,1200340,21234632,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1200426,ocds-dgv273-seacev3-1200426-2026-08-05T10:25:24.744820-05:00,1200426,21234870,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1921-8,ocds-dgv273-seacev3-2026-1921-8-2026-07-23T10:29:17.806996-05:00,1201884,21239490,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1921-8,ocds-dgv273-seacev3-2026-1921-8-2026-07-23T10:29:17.806996-05:00,1201884,21239490,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1921-8,ocds-dgv273-seacev3-2026-1921-8-2026-07-23T10:29:17.806996-05:00,1201884,21239491,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1921-8,ocds-dgv273-seacev3-2026-1921-8-2026-07-23T10:29:17.806996-05:00,1201884,21239491,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-10248-20,ocds-dgv273-seacev3-2026-10248-20-2026-07-08T12:24:35.737316-05:00,1200916,21236271,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-10248-20,ocds-dgv273-seacev3-2026-10248-20-2026-07-08T12:24:35.737316-05:00,1200916,21236271,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-10248-23,ocds-dgv273-seacev3-2026-10248-23-2026-07-08T12:23:11.668010-05:00,1200976,21236435,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-10248-23,ocds-dgv273-seacev3-2026-10248-23-2026-07-08T12:23:11.668010-05:00,1200976,21236435,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-10248-22,ocds-dgv273-seacev3-2026-10248-22-2026-07-08T12:22:48.218129-05:00,1200615,21235389,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-10248-22,ocds-dgv273-seacev3-2026-10248-22-2026-07-08T12:22:48.218129-05:00,1200615,21235389,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1926-35,ocds-dgv273-seacev3-2026-1926-35-2026-06-19T10:29:11.299033-05:00,1196982,21225007,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1926-35,ocds-dgv273-seacev3-2026-1926-35-2026-06-19T10:29:11.299033-05:00,1196982,21225007,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-10248-21,ocds-dgv273-seacev3-2026-10248-21-2026-06-18T10:26:23.668359-05:00,1200551,21235148,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-10248-21,ocds-dgv273-seacev3-2026-10248-21-2026-06-18T10:26:23.668359-05:00,1200551,21235148,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2391-112,ocds-dgv273-seacev3-2026-2391-112-2026-06-04T10:35:21.802740-05:00,1194172,21218284,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2391-112,ocds-dgv273-seacev3-2026-2391-112-2026-06-04T10:35:21.802740-05:00,1194172,21218284,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1199379,ocds-dgv273-seacev3-1199379-2026-05-31T10:14:30.101594-05:00,1199379,21231302,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1199379,ocds-dgv273-seacev3-1199379-2026-05-31T10:14:30.101594-05:00,1199379,21231302,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1926-122,ocds-dgv273-seacev3-2026-1926-122-2026-05-22T10:33:27.851993-05:00,1202079,21239770,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-10249-5,ocds-dgv273-seacev3-2026-10249-5-2026-05-16T10:21:21.631638-05:00,1201951,21239626,PEN,3.98563539545455,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-10249-5,ocds-dgv273-seacev3-2026-10249-5-2026-05-16T10:21:21.631638-05:00,1201951,21239626,PEN,3.98563539545455,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1199452,ocds-dgv273-seacev3-1199452-2026-05-15T10:33:56.180356-05:00,1199452,21234293,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1200784,ocds-dgv273-seacev3-1200784-2026-05-14T10:36:47.785986-05:00,1200784,21235883,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1926-59,ocds-dgv273-seacev3-2026-1926-59-2026-05-10T21:37:43.427083-05:00,1201338,21237368,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1926-39,ocds-dgv273-seacev3-2026-1926-39-2026-05-07T10:35:56.800782-05:00,1196237,21223236,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1196959,ocds-dgv273-seacev3-1196959-2026-05-07T10:35:33.894869-05:00,1196959,21226019,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1926-154,ocds-dgv273-seacev3-2026-1926-154-2026-05-07T10:35:06.211638-05:00,1202110,21241548,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1926-87,ocds-dgv273-seacev3-2026-1926-87-2026-05-06T10:32:51.216199-05:00,1201533,21238138,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1926-87,ocds-dgv273-seacev3-2026-1926-87-2026-05-06T10:32:51.216199-05:00,1201533,21238138,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1193751,ocds-dgv273-seacev3-1193751-2026-05-02T10:08:47.887432-05:00,1193751,21217016,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-200283-2,ocds-dgv273-seacev3-2026-200283-2-2026-05-02T10:08:29.759013-05:00,1196252,21223332,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1201666,ocds-dgv273-seacev3-1201666-2026-05-02T10:08:19.983628-05:00,1201666,21238401,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1201303,ocds-dgv273-seacev3-1201303-2026-04-30T10:19:35.946743-05:00,1201303,21237271,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1926-43,ocds-dgv273-seacev3-2026-1926-43-2026-04-30T10:19:27.408125-05:00,1199426,21231411,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1194255,ocds-dgv273-seacev3-1194255-2026-04-29T10:18:58.158327-05:00,1194255,21225555,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1197238,ocds-dgv273-seacev3-1197238-2026-04-29T10:18:46.792804-05:00,1197238,21225542,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1197238,ocds-dgv273-seacev3-1197238-2026-04-29T10:18:46.792804-05:00,1197238,21225542,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1197574,ocds-dgv273-seacev3-1197574-2026-04-29T10:18:38.976606-05:00,1197574,21226342,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2408-92,ocds-dgv273-seacev3-2026-2408-92-2026-04-26T10:13:32.663511-05:00,1200261,21234283,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1201672,ocds-dgv273-seacev3-1201672-2026-04-25T10:20:43.898255-05:00,1201672,21238374,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1197808,ocds-dgv273-seacev3-1197808-2026-04-25T10:20:15.526331-05:00,1197808,21226961,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1192987,ocds-dgv273-seacev3-1192987-2026-04-24T10:18:47.767110-05:00,1192987,21215284,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1199980,ocds-dgv273-seacev3-1199980-2026-04-24T10:18:39.658543-05:00,1199980,21233674,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1199980,ocds-dgv273-seacev3-1199980-2026-04-24T10:18:39.658543-05:00,1199980,21233674,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-10249-78,ocds-dgv273-seacev3-2026-10249-78-2026-04-23T10:36:47.406448-05:00,1192343,21213687,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1196949,ocds-dgv273-seacev3-1196949-2026-04-23T10:36:34.158274-05:00,1196949,21225944,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1201721,ocds-dgv273-seacev3-1201721-2026-04-23T10:36:00.304149-05:00,1201721,21238467,PEN,3.98563539545455,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1207320,ocds-dgv273-seacev3-1207320-2026-04-22T10:35:04.629610-05:00,1207320,21253952,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1922-11,ocds-dgv273-seacev3-2026-1922-11-2026-04-19T10:08:01.913195-05:00,1201443,21237770,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1201899,ocds-dgv273-seacev3-1201899-2026-04-18T10:19:11.347202-05:00,1201899,21241243,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1198917,ocds-dgv273-seacev3-1198917-2026-04-16T10:36:45.012713-05:00,1198917,21230423,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1192903,ocds-dgv273-seacev3-1192903-2026-04-16T10:36:19.635767-05:00,1192903,21215039,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-292,ocds-dgv273-seacev3-2026-1947-292-2026-04-16T10:36:04.390318-05:00,1201696,21238445,PEN,3.98563539545455,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-296,ocds-dgv273-seacev3-2026-1947-296-2026-04-16T10:35:25.070362-05:00,1201835,21239468,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-329,ocds-dgv273-seacev3-2026-1947-329-2026-04-11T10:15:10.444538-05:00,1200240,21234037,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1200561,ocds-dgv273-seacev3-1200561-2026-04-11T10:14:54.216198-05:00,1200561,21235266,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1201214,ocds-dgv273-seacev3-1201214-2026-04-11T10:14:47.609940-05:00,1201214,21236997,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1192162,ocds-dgv273-seacev3-1192162-2026-04-10T10:15:40.490085-05:00,1192162,21213266,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1201946,ocds-dgv273-seacev3-1201946-2026-04-10T10:15:18.759649-05:00,1201946,21241301,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1201987,ocds-dgv273-seacev3-1201987-2026-04-10T10:15:09.228399-05:00,1201987,21241391,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1202035,ocds-dgv273-seacev3-1202035-2026-04-10T10:15:00.027946-05:00,1202035,21239704,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1195746,ocds-dgv273-seacev3-1195746-2026-04-09T10:18:23.119597-05:00,1195746,21222375,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-13-13,ocds-dgv273-seacev3-2026-13-13-2026-04-09T10:17:46.644099-05:00,1197134,21225367,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1201698,ocds-dgv273-seacev3-1201698-2026-04-08T10:12:47.259142-05:00,1201698,21238446,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-289,ocds-dgv273-seacev3-2026-1947-289-2026-04-08T10:12:28.272052-05:00,1201825,21239445,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-288,ocds-dgv273-seacev3-2026-1947-288-2026-04-08T10:11:53.535600-05:00,1201842,21238853,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1201863,ocds-dgv273-seacev3-1201863-2026-04-08T10:11:51.124292-05:00,1201863,21241120,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-334,ocds-dgv273-seacev3-2026-1947-334-2026-04-03T10:07:27.857394-05:00,1195165,21221065,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-339,ocds-dgv273-seacev3-2026-1947-339-2026-04-02T10:14:22.923669-05:00,1201723,21238497,PEN,3.98563539545455,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1200903,ocds-dgv273-seacev3-1200903-2026-04-01T10:15:10.858336-05:00,1200903,21235969,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1926-15,ocds-dgv273-seacev3-2026-1926-15-2026-04-01T10:15:10.380621-05:00,1195156,21220982,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1195970,ocds-dgv273-seacev3-1195970-2026-04-01T10:14:47.308604-05:00,1195970,21222730,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1200810,ocds-dgv273-seacev3-1200810-2026-04-01T10:14:35.621958-05:00,1200810,21236166,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2432-38,ocds-dgv273-seacev3-2026-2432-38-2026-03-29T10:02:54.958842-05:00,1200883,21235954,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1200387,ocds-dgv273-seacev3-1200387-2026-03-29T10:02:54.692915-05:00,1200387,21234838,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1200319,ocds-dgv273-seacev3-1200319-2026-03-29T10:02:30.750686-05:00,1200319,21234564,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1200319,ocds-dgv273-seacev3-1200319-2026-03-29T10:02:30.750686-05:00,1200319,21234563,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1199890,ocds-dgv273-seacev3-1199890-2026-03-28T10:10:59.750289-05:00,1199890,21233024,PEN,3.98563539545455,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1199981,ocds-dgv273-seacev3-1199981-2026-03-28T10:10:57.350870-05:00,1199981,21233173,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1199797,ocds-dgv273-seacev3-1199797-2026-03-28T10:10:57.222349-05:00,1199797,21232842,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1198106,ocds-dgv273-seacev3-1198106-2026-03-28T10:10:35.153811-05:00,1198106,21227836,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1200181,ocds-dgv273-seacev3-1200181-2026-03-28T10:10:14.217307-05:00,1200181,21233851,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1198543,ocds-dgv273-seacev3-1198543-2026-03-28T10:10:14.046943-05:00,1198543,21229026,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1200171,ocds-dgv273-seacev3-1200171-2026-03-28T10:09:57.219603-05:00,1200171,21233876,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1200074,ocds-dgv273-seacev3-1200074-2026-03-28T10:09:54.386609-05:00,1200074,21233590,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1198665,ocds-dgv273-seacev3-1198665-2026-03-27T10:16:07.437210-05:00,1198665,21229348,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1199352,ocds-dgv273-seacev3-1199352-2026-03-27T10:15:57.880293-05:00,1199352,21231279,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-2000-5,ocds-dgv273-seacev3-2026-2000-5-2026-03-26T10:13:10.736063-05:00,1193092,21215509,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1198847,ocds-dgv273-seacev3-1198847-2026-03-25T10:13:48.599427-05:00,1198847,21230481,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1197252,ocds-dgv273-seacev3-1197252-2026-03-25T10:13:47.621277-05:00,1197252,21225587,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1196820,ocds-dgv273-seacev3-1196820-2026-03-25T10:13:46.673470-05:00,1196820,21224943,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1198414,ocds-dgv273-seacev3-1198414-2026-03-25T10:13:40.244509-05:00,1198414,21228487,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1198391,ocds-dgv273-seacev3-1198391-2026-03-25T10:13:29.549693-05:00,1198391,21228482,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1198395,ocds-dgv273-seacev3-1198395-2026-03-25T10:13:17.028582-05:00,1198395,21228502,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1196231,ocds-dgv273-seacev3-1196231-2026-03-25T10:13:09.457586-05:00,1196231,21223235,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1197534,ocds-dgv273-seacev3-1197534-2026-03-25T10:13:08.316673-05:00,1197534,21226412,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1196009,ocds-dgv273-seacev3-1196009-2026-03-25T10:12:46.314643-05:00,1196009,21224386,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1197709,ocds-dgv273-seacev3-1197709-2026-03-22T10:01:49.410203-05:00,1197709,21226740,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1197679,ocds-dgv273-seacev3-1197679-2026-03-22T10:01:36.423710-05:00,1197679,21226716,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1196575,ocds-dgv273-seacev3-1196575-2026-03-21T10:09:42.630962-05:00,1196575,21224144,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-10,ocds-dgv273-seacev3-2026-1947-10-2026-03-20T10:13:19.305760-05:00,1195701,21222295,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-98,ocds-dgv273-seacev3-2026-1947-98-2026-03-19T10:13:22.833411-05:00,1196211,21223262,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1193331,ocds-dgv273-seacev3-1193331-2026-03-19T10:13:05.142417-05:00,1193331,21216302,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1196324,ocds-dgv273-seacev3-1196324-2026-03-19T10:12:55.510746-05:00,1196324,21223543,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1196334,ocds-dgv273-seacev3-1196334-2026-03-19T10:12:41.790912-05:00,1196334,21223694,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1193525,ocds-dgv273-seacev3-1193525-2026-03-18T10:12:26.382415-05:00,1193525,21216602,PEN,3.98563539545455,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1195528,ocds-dgv273-seacev3-1195528-2026-03-15T10:15:40.153280-05:00,1195528,21221864,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-110,ocds-dgv273-seacev3-2026-1947-110-2026-03-15T10:15:39.444871-05:00,1194615,21219656,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1195314,ocds-dgv273-seacev3-1195314-2026-03-15T10:15:34.397367-05:00,1195314,21221563,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1192583,ocds-dgv273-seacev3-1192583-2026-03-15T10:15:04.327240-05:00,1192583,21214269,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1195297,ocds-dgv273-seacev3-1195297-2026-03-15T10:14:49.540871-05:00,1195297,21221517,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-2026-1947-78,ocds-dgv273-seacev3-2026-1947-78-2026-03-15T10:14:49.210218-05:00,1195137,21221052,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1195219,ocds-dgv273-seacev3-1195219-2026-03-15T10:14:16.068095-05:00,1195219,21221107,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1193972,ocds-dgv273-seacev3-1193972-2026-03-11T10:12:53.329423-05:00,1193972,21217916,PEN,3.44677272727273,2026-03_seace_v3_csv_es
ocds-dgv273-seacev3-1192553,ocds-dgv273-seacev3-1192553-2026-03-05T10:10:54.163365-05:00,1192553,21214256,PEN,3.44677272727273,2026-03_seace_v3_csv_es
